county,Pop2012,Pop2017,Pop85up2012,Pop85up2017,Pop14to172012,Pop14to172017,Pop18to242012,Pop18to242017,Pop65up2012,Pop65up2017,EduLess9th,Edu9to12th,HighSchool,SomeCollege,Associate,Bachelor,Graduate degree,PopPov,VeryPoor,Poor,Unemployment
Oglethorpe,14503,14888,215,275,825,771,1159,1125,2277,2756,7.7,14.4,36,18.7,7.6,9.6,6,14488,776,1767,5.8
Paulding,144720,159552,895,1267,9659,10547,12130,13547,12100,16489,3,6.9,33,24.1,8.6,16,8.3,151357,7343,7373,5.2
Peach,27643,26881,312,388,1346,1302,4863,3679,3494,4221,5.7,8.5,30.8,27,7.7,11.9,8.4,25043,1758,2927,8.6
Pickens,29286,31526,449,503,1492,1681,2168,2203,5402,6707,5.7,10.6,28.8,22.5,7.5,15.8,9.1,30101,790,2174,7
Pierce,18904,19219,266,311,1062,1160,1468,1479,2873,3231,5.4,12.8,40.2,20.6,8.4,6.6,6.1,18990,1449,2545,6.2
Pike,17769,18206,244,276,1201,1232,1380,1547,2429,2858,3,8.1,41.1,24.8,6.6,11.1,5.4,17524,1027,1121,9
Polk,41086,41910,601,650,2256,2454,3684,3465,5830,6482,8.9,14.4,38.2,20,5.9,7.5,5.2,40998,3130,4651,7.2
Pulaski,11702,11208,220,254,551,517,932,849,2070,2439,5.6,14.4,40.1,20.6,6.8,6.7,5.8,9828,1011,1132,6.7
Putnam,21139,21706,332,428,961,1013,1479,1427,4226,5078,3.8,10.3,36.9,19.4,8.2,14.6,6.9,21150,1487,1938,6.5
Quitman,2408,2348,49,72,106,125,171,123,597,711,6.3,23.4,38.6,20.5,2.8,5.2,3.1,2140,160,328,12.1
Rabun,16308,16557,407,432,931,805,1173,1176,3813,4485,5.1,11.1,33.4,18.9,6.2,14.2,11.2,16045,1380,1879,5.7
Randolph,7304,6991,209,271,371,275,658,671,1438,1627,10.7,15.6,35.1,22.1,4.4,6.9,5.2,6977,1217,1232,8.9
Richmond,201572,201460,2727,2899,9946,9920,24784,23116,23834,27354,4.9,12.1,30.8,23.1,8.1,13,8.1,192621,23826,22866,11.6
Rockdale,85437,89866,1041,1230,5475,5796,7851,8162,10141,12614,4.5,8.6,32.3,20.3,8.6,17.3,8.4,87480,5526,8706,8.7
Schley,5022,5254,55,79,344,364,384,416,759,874,4.9,13.8,34.5,24.8,8.3,8.1,5.6,5168,590,558,14.2
